month,agent_code,agent_name,demanda_comercial_kwh
2022-01-01,EPMC,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,980279235.92
2022-01-01,CDSC,CODENSA S.A. E.S.P.,865854752.9
2022-01-01,CMMC,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,712536418.56
2022-01-01,CSSC,AIR- E S.A.S. E.S.P.,655266263.87
2022-01-01,ISGC,ISAGEN S.A. E.S.P.,344172017.42
2022-01-01,EPSC,CELSIA COLOMBIA S.A. E.S.P.,335795584.18
2022-01-01,ENDC,ENEL COLOMBIA SA ESP,328944123.6
2022-01-01,EMIC,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,255579913.73
2022-01-01,ESSC,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,190576940.06
2022-01-01,CNSC,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,127451390.72
2022-01-01,GNCC,VATIA S.A. E.S.P.,115427339.33
2022-01-01,SOEC,COREX ENERGY S.A.S. E.S.P.,112215123.54
2022-01-01,EMSC,ELECTRIFICADORA DEL META S.A. E.S.P.,101574750.79
2022-01-01,HLAC,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,86221966.23
2022-01-01,CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,82668290.66
2022-01-01,EBSC,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.,79019373.13
2022-01-01,EEPC,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,66810020.98
2022-01-01,CNCC,CNCC,11996231.52
2022-01-01,GECC,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,469071.82
2022-02-01,EPMC,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,934810895.69
2022-02-01,CDSC,CODENSA S.A. E.S.P.,822108709.99
2022-02-01,CMMC,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,660905801.74
2022-02-01,CSSC,AIR- E S.A.S. E.S.P.,613245122.62
2022-02-01,ENDC,ENEL COLOMBIA SA ESP,351976986.4
2022-02-01,ISGC,ISAGEN S.A. E.S.P.,319880140.82
2022-02-01,EPSC,CELSIA COLOMBIA S.A. E.S.P.,307336227.25
2022-02-01,EMIC,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,238110404.22
2022-02-01,ESSC,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,177022063.96
2022-02-01,CNSC,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,115938765.37
2022-02-01,GNCC,VATIA S.A. E.S.P.,111046880.33
2022-02-01,SOEC,COREX ENERGY S.A.S. E.S.P.,92919390.54
2022-02-01,EMSC,ELECTRIFICADORA DEL META S.A. E.S.P.,91725811.46
2022-02-01,HLAC,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,78353308.83
2022-02-01,CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,75484272.84
2022-02-01,EBSC,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.,71520250.62
2022-02-01,EEPC,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,62427236.22
2022-02-01,CNCC,CNCC,8554739.63
2022-02-01,GECC,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,553490.39
2022-03-01,EPMC,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,1026025878.42
2022-03-01,CDSC,CODENSA S.A. E.S.P.,915161912.54
2022-03-01,CMMC,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,742355146.11
2022-03-01,CSSC,AIR- E S.A.S. E.S.P.,696407545.66
2022-03-01,ENDC,ENEL COLOMBIA SA ESP,385723654.58
