agent_code,agent_name,dayofweek,hour,demanda_comercial_kwh
CDSC,CODENSA S.A. E.S.P.,0,0,808862.3246153847
CDSC,CODENSA S.A. E.S.P.,0,1,757249.4361538461
CDSC,CODENSA S.A. E.S.P.,0,2,735747.166923077
CDSC,CODENSA S.A. E.S.P.,0,3,748149.8500000001
CDSC,CODENSA S.A. E.S.P.,0,4,860641.75
CDSC,CODENSA S.A. E.S.P.,0,5,1049883.8484615383
CDSC,CODENSA S.A. E.S.P.,0,6,1082182.173076923
CDSC,CODENSA S.A. E.S.P.,0,7,1180903.48
CDSC,CODENSA S.A. E.S.P.,0,8,1291622.52
CDSC,CODENSA S.A. E.S.P.,0,9,1364906.5338461539
CDSC,CODENSA S.A. E.S.P.,0,10,1427101.1707692307
CDSC,CODENSA S.A. E.S.P.,0,11,1463429.0876923078
CDSC,CODENSA S.A. E.S.P.,0,12,1464950.2146153846
CDSC,CODENSA S.A. E.S.P.,0,13,1431651.6076923076
CDSC,CODENSA S.A. E.S.P.,0,14,1411552.3646153845
CDSC,CODENSA S.A. E.S.P.,0,15,1390745.3969230768
CDSC,CODENSA S.A. E.S.P.,0,16,1363171.2076923077
CDSC,CODENSA S.A. E.S.P.,0,17,1346613.0092307692
CDSC,CODENSA S.A. E.S.P.,0,18,1483108.536923077
CDSC,CODENSA S.A. E.S.P.,0,19,1522679.0307692306
CDSC,CODENSA S.A. E.S.P.,0,20,1450696.2315384618
CDSC,CODENSA S.A. E.S.P.,0,21,1295695.7161538461
CDSC,CODENSA S.A. E.S.P.,0,22,1106022.0046153846
CDSC,CODENSA S.A. E.S.P.,0,23,937419.3907692308
CDSC,CODENSA S.A. E.S.P.,1,0,836787.286923077
CDSC,CODENSA S.A. E.S.P.,1,1,784504.1823076924
CDSC,CODENSA S.A. E.S.P.,1,2,764461.7992307693
CDSC,CODENSA S.A. E.S.P.,1,3,779999.693076923
CDSC,CODENSA S.A. E.S.P.,1,4,906933.66
CDSC,CODENSA S.A. E.S.P.,1,5,1128759.7661538462
CDSC,CODENSA S.A. E.S.P.,1,6,1168485.9853846154
CDSC,CODENSA S.A. E.S.P.,1,7,1262805.2653846154
CDSC,CODENSA S.A. E.S.P.,1,8,1356925.1076923076
CDSC,CODENSA S.A. E.S.P.,1,9,1411340.2369230767
CDSC,CODENSA S.A. E.S.P.,1,10,1466383.5530769231
CDSC,CODENSA S.A. E.S.P.,1,11,1497805.0915384616
CDSC,CODENSA S.A. E.S.P.,1,12,1492430.4046153848
CDSC,CODENSA S.A. E.S.P.,1,13,1457212.223076923
CDSC,CODENSA S.A. E.S.P.,1,14,1446738.4515384617
CDSC,CODENSA S.A. E.S.P.,1,15,1429332.223076923
CDSC,CODENSA S.A. E.S.P.,1,16,1398479.4869230767
CDSC,CODENSA S.A. E.S.P.,1,17,1367545.1676923076
CDSC,CODENSA S.A. E.S.P.,1,18,1507778.573846154
CDSC,CODENSA S.A. E.S.P.,1,19,1552951.6523076924
CDSC,CODENSA S.A. E.S.P.,1,20,1477271.7584615385
CDSC,CODENSA S.A. E.S.P.,1,21,1323556.2576923077
CDSC,CODENSA S.A. E.S.P.,1,22,1127005.9046153845
CDSC,CODENSA S.A. E.S.P.,1,23,949548.8669230769
CDSC,CODENSA S.A. E.S.P.,2,0,844818.603076923
CDSC,CODENSA S.A. E.S.P.,2,1,793011.0953846154
CDSC,CODENSA S.A. E.S.P.,2,2,772038.6869230769
CDSC,CODENSA S.A. E.S.P.,2,3,786906.7876923077
CDSC,CODENSA S.A. E.S.P.,2,4,914243.5146153846
CDSC,CODENSA S.A. E.S.P.,2,5,1135685.2123076923
CDSC,CODENSA S.A. E.S.P.,2,6,1178294.7123076923
CDSC,CODENSA S.A. E.S.P.,2,7,1273032.5646153847
CDSC,CODENSA S.A. E.S.P.,2,8,1366974.1653846153
CDSC,CODENSA S.A. E.S.P.,2,9,1419107.2776923077
CDSC,CODENSA S.A. E.S.P.,2,10,1471790.0176923077
CDSC,CODENSA S.A. E.S.P.,2,11,1503629.3546153845
CDSC,CODENSA S.A. E.S.P.,2,12,1498676.7023076923
CDSC,CODENSA S.A. E.S.P.,2,13,1462486.6746153845
CDSC,CODENSA S.A. E.S.P.,2,14,1453817.4053846153
CDSC,CODENSA S.A. E.S.P.,2,15,1439974.506153846
CDSC,CODENSA S.A. E.S.P.,2,16,1412368.7361538461
CDSC,CODENSA S.A. E.S.P.,2,17,1383355.6946153848
CDSC,CODENSA S.A. E.S.P.,2,18,1523756.4938461536
CDSC,CODENSA S.A. E.S.P.,2,19,1562708.1669230768
CDSC,CODENSA S.A. E.S.P.,2,20,1484296.2961538462
CDSC,CODENSA S.A. E.S.P.,2,21,1324901.8676923078
CDSC,CODENSA S.A. E.S.P.,2,22,1128721.2623076923
CDSC,CODENSA S.A. E.S.P.,2,23,956597.416923077
CDSC,CODENSA S.A. E.S.P.,3,0,850458.2938461539
CDSC,CODENSA S.A. E.S.P.,3,1,796763.3592307692
CDSC,CODENSA S.A. E.S.P.,3,2,775978.23
CDSC,CODENSA S.A. E.S.P.,3,3,791375.9299999999
CDSC,CODENSA S.A. E.S.P.,3,4,917720.8269230769
CDSC,CODENSA S.A. E.S.P.,3,5,1139330.6676923076
CDSC,CODENSA S.A. E.S.P.,3,6,1179919.3376923078
CDSC,CODENSA S.A. E.S.P.,3,7,1275366.2038461538
CDSC,CODENSA S.A. E.S.P.,3,8,1369362.4800000002
CDSC,CODENSA S.A. E.S.P.,3,9,1419667.7607692308
CDSC,CODENSA S.A. E.S.P.,3,10,1472711.7253846154
CDSC,CODENSA S.A. E.S.P.,3,11,1505802.3723076922
CDSC,CODENSA S.A. E.S.P.,3,12,1498641.463076923
CDSC,CODENSA S.A. E.S.P.,3,13,1464456.7584615385
CDSC,CODENSA S.A. E.S.P.,3,14,1455253.0969230768
CDSC,CODENSA S.A. E.S.P.,3,15,1441007.1292307691
CDSC,CODENSA S.A. E.S.P.,3,16,1393070.176153846
CDSC,CODENSA S.A. E.S.P.,3,17,1393915.8907692307
CDSC,CODENSA S.A. E.S.P.,3,18,1524038.4907692308
CDSC,CODENSA S.A. E.S.P.,3,19,1555719.4607692307
CDSC,CODENSA S.A. E.S.P.,3,20,1477856.3161538462
CDSC,CODENSA S.A. E.S.P.,3,21,1320903.106153846
CDSC,CODENSA S.A. E.S.P.,3,22,1130518.633846154
CDSC,CODENSA S.A. E.S.P.,3,23,959561.8253846155
CDSC,CODENSA S.A. E.S.P.,4,0,853015.7008333333
CDSC,CODENSA S.A. E.S.P.,4,1,799410.8466666667
CDSC,CODENSA S.A. E.S.P.,4,2,776702.1741666667
CDSC,CODENSA S.A. E.S.P.,4,3,791400.2324999999
CDSC,CODENSA S.A. E.S.P.,4,4,914799.685
CDSC,CODENSA S.A. E.S.P.,4,5,1124577.1141666668
CDSC,CODENSA S.A. E.S.P.,4,6,1170864.6558333335
CDSC,CODENSA S.A. E.S.P.,4,7,1270778.84
CDSC,CODENSA S.A. E.S.P.,4,8,1369466.0725
CDSC,CODENSA S.A. E.S.P.,4,9,1426786.9633333331
CDSC,CODENSA S.A. E.S.P.,4,10,1481545.5741666667
CDSC,CODENSA S.A. E.S.P.,4,11,1516719.8016666668
CDSC,CODENSA S.A. E.S.P.,4,12,1511138.6291666667
CDSC,CODENSA S.A. E.S.P.,4,13,1472699.0599999998
CDSC,CODENSA S.A. E.S.P.,4,14,1460639.2808333335
CDSC,CODENSA S.A. E.S.P.,4,15,1443106.8941666668
CDSC,CODENSA S.A. E.S.P.,4,16,1414028.6425
CDSC,CODENSA S.A. E.S.P.,4,17,1385063.2383333335
CDSC,CODENSA S.A. E.S.P.,4,18,1506197.5225
CDSC,CODENSA S.A. E.S.P.,4,19,1526480.2941666667
CDSC,CODENSA S.A. E.S.P.,4,20,1451272.17
CDSC,CODENSA S.A. E.S.P.,4,21,1314704.9816666667
CDSC,CODENSA S.A. E.S.P.,4,22,1149642.4891666665
CDSC,CODENSA S.A. E.S.P.,4,23,987885.8975
CDSC,CODENSA S.A. E.S.P.,5,0,883568.5923076923
CDSC,CODENSA S.A. E.S.P.,5,1,824153.5307692308
CDSC,CODENSA S.A. E.S.P.,5,2,793559.78
CDSC,CODENSA S.A. E.S.P.,5,3,790569.5353846154
CDSC,CODENSA S.A. E.S.P.,5,4,833998.3961538462
CDSC,CODENSA S.A. E.S.P.,5,5,897772.9769230769
CDSC,CODENSA S.A. E.S.P.,5,6,974846.7476923077
CDSC,CODENSA S.A. E.S.P.,5,7,1116344.0646153847
CDSC,CODENSA S.A. E.S.P.,5,8,1251514.9338461538
CDSC,CODENSA S.A. E.S.P.,5,9,1339641.0569230767
CDSC,CODENSA S.A. E.S.P.,5,10,1398964.5184615382
CDSC,CODENSA S.A. E.S.P.,5,11,1433778.9946153846
CDSC,CODENSA S.A. E.S.P.,5,12,1430118.3615384614
CDSC,CODENSA S.A. E.S.P.,5,13,1376934.9661538461
CDSC,CODENSA S.A. E.S.P.,5,14,1318132.1592307691
CDSC,CODENSA S.A. E.S.P.,5,15,1275252.776923077
CDSC,CODENSA S.A. E.S.P.,5,16,1247040.74
CDSC,CODENSA S.A. E.S.P.,5,17,1250138.3161538462
CDSC,CODENSA S.A. E.S.P.,5,18,1384443.8376923078
CDSC,CODENSA S.A. E.S.P.,5,19,1408051.8023076924
CDSC,CODENSA S.A. E.S.P.,5,20,1345213.5623076921
CDSC,CODENSA S.A. E.S.P.,5,21,1231916.8869230768
CDSC,CODENSA S.A. E.S.P.,5,22,1094141.723076923
CDSC,CODENSA S.A. E.S.P.,5,23,959091.7553846154
CDSC,CODENSA S.A. E.S.P.,6,0,858971.9423076923
CDSC,CODENSA S.A. E.S.P.,6,1,795883.4292307693
CDSC,CODENSA S.A. E.S.P.,6,2,762869.2353846154
CDSC,CODENSA S.A. E.S.P.,6,3,746961.9807692308
CDSC,CODENSA S.A. E.S.P.,6,4,756357.8546153846
CDSC,CODENSA S.A. E.S.P.,6,5,775946.7876923077
CDSC,CODENSA S.A. E.S.P.,6,6,793983.9053846153
CDSC,CODENSA S.A. E.S.P.,6,7,906571.9569230769
CDSC,CODENSA S.A. E.S.P.,6,8,1048181.7815384616
CDSC,CODENSA S.A. E.S.P.,6,9,1161314.1484615384
CDSC,CODENSA S.A. E.S.P.,6,10,1232958.1030769232
CDSC,CODENSA S.A. E.S.P.,6,11,1273186.1938461538
CDSC,CODENSA S.A. E.S.P.,6,12,1285157.9384615384
CDSC,CODENSA S.A. E.S.P.,6,13,1251080.0423076923
CDSC,CODENSA S.A. E.S.P.,6,14,1203709.7376923077
CDSC,CODENSA S.A. E.S.P.,6,15,1160311.2323076923
CDSC,CODENSA S.A. E.S.P.,6,16,1138859.8430769232
CDSC,CODENSA S.A. E.S.P.,6,17,1163771.163846154
CDSC,CODENSA S.A. E.S.P.,6,18,1326053.2338461538
CDSC,CODENSA S.A. E.S.P.,6,19,1379614.7453846154
CDSC,CODENSA S.A. E.S.P.,6,20,1329652.4453846153
CDSC,CODENSA S.A. E.S.P.,6,21,1206664.1153846155
CDSC,CODENSA S.A. E.S.P.,6,22,1046255.9946153846
CDSC,CODENSA S.A. E.S.P.,6,23,904200.0246153846
CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,0,0,83053.80955414013
CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,0,1,77337.82719745222
CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,0,2,74346.18477707006
CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,0,3,73357.62917197452
CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,0,4,77466.7927388535
CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,0,5,89956.18598726114
CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,0,6,101026.86050955414
CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,0,7,107776.33369426752
CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,0,8,115184.99866242037
