agent_code,agent_name,total_demand_kwh,avg_hourly_demand_kwh,max_hourly_demand_kwh,records,share_percent
ENDC,ENEL COLOMBIA SA ESP,43766149423.27,1663859.0869552158,2275235.34,26304,18.115879906529468
EPMC,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,36401839969.66,1383889.9015229624,1810831.7,26304,15.06761206907642
CMMC,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,26501629147.02,1007513.2735333029,1394257.34,26304,10.969672618709543
CSSC,AIR- E S.A.S. E.S.P.,23516648099.26,993773.1617334347,1411258.14,23664,9.734115940841617
EPSC,CELSIA COLOMBIA S.A. E.S.P.,12407523204.68,471697.20212439174,744628.48,26304,5.1357773821873165
ISGC,ISAGEN S.A. E.S.P.,12139323522.76,461501.0463336375,563961.53,26304,5.02476297281712
EMIC,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,9663955021.75,367394.883734413,544712.09,26304,4.00014739480467
GECC,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,7924240457.94,301256.1001345803,490951.06,26304,3.2800369778515783
ESSC,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,7066890146.9,268662.1862416362,386522.23,26304,2.925158710576635
CNSC,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,5155222443.91,195986.25471069038,280026.7,26304,2.133872682792233
GNCC,VATIA S.A. E.S.P.,4785842598.81,181943.5294559763,287509.25,26304,1.98097732869087
SOEC,COREX ENERGY S.A.S. E.S.P.,3842204450.62,146074.7614576284,184263.3,26303,1.5903824147425856
EMSC,ELECTRIFICADORA DEL META S.A. E.S.P.,3701254857.83,140710.72300144465,201507.01,26304,1.532039930208174
HLAC,ELECTRIFICADORA DEL HUILA S.A. E.S.P.,3308019454.31,125761.08022772202,218034.9,26304,1.3692701768933824
CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,3081690003.43,117156.70633477798,180944.38,26304,1.2755868804306407
CNCC,CNCC,3076787954.64,171714.9210090412,487449.96,17918,1.2735578025166405
EBSC,EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P.,2921328541.33,111060.23955786192,172837.32,26304,1.2092093483123032
CSIC,AIR- E S.A.S. E.S.P. - INTERVENIDO,2798777544.98,1060143.0094621212,1409441.39,2640,1.1584824929330242
CDSC,CODENSA S.A. E.S.P.,2603125375.43,1205150.636773148,1615095.65,2160,1.0774972736773585
EEPC,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,2535756194.61,96401.92345688869,139663.98,26304,1.0496115216699524
CDNC,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2426408487.61,92244.8482211831,453940.47,26304,1.0043498307473981
CEOC,COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S. ESP,2183683984.96,83017.18312652069,155402.9,26304,0.9038802212815592
ECTC,ECOPETROL ENERGÍA S.A.S. E.S.P.,1833187313.52,313044.28168032784,411683.87,5856,0.7588010747009973
CASC,EMPRESA DE ENERGIA DE CASANARE S.A. E.S.P.,1594663121.44,60624.35832725061,93768.3,26304,0.6600700765331352
CHVC,AES COLOMBIA & CIA. S.C.A. E.S.P.,1445060118.79,54936.89624353711,117095.64,26304,0.5981457339675397
EDQC,EMPRESA DE ENERGIA DEL QUINDIO S.A. E.S.P.,1400585041.06,53246.08580672141,83520.27,26304,0.579736411292197
ETTC,ENERTOTAL S.A. E.S.P.,1226473158.1,46626.868845042576,96997.71,26304,0.5076672436005557
ENIC,EMPRESA DE ENERGÍA DE ARAUCA E.S.P.,920761591.37,35072.623752333064,57678.71,26253,0.38112574744661193
CQTC,ELECTRIFICADORA DEL CAQUETA S.A. E.S.P.,883966523.26,33671.06704986097,55005.56,26253,0.3658953686306286
QIEC,QI ENERGY S.A.S. E.S.P.,786411894.25,29897.045858044403,152247.78,26304,0.32551512118460707
EDPC,EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P.,757218550.97,28791.579884790877,153593.82,26300,0.31343128223830535
NEUC,NEU ENERGY S.A.S E.S.P,683934971.54,26001.177446015812,340671.49,26304,0.28309741596108096
DCLC,DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,666559906.24,57382.91203856749,93758.64,11616,0.2759054513836455
CETC,COMPAÑIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,641757833.15,24397.727841773114,37991.12,26304,0.2656392665935229
RTQC,RUITOQUE S.A. E.S.P.,628176768.97,23881.41609527068,38459.58,26304,0.2600177318930785
CMXC,CEMEX ENERGY S.A.S E.S.P.,476388807.99,18110.888381614965,46074.97,26304,0.19718898162361478
DRUC,DRUMMOND POWER S.A.S. E.S.P.,473350497.29,26982.300478253437,62080.99,17543,0.1959313504980706
ENDG,ENEL COLOMBIA SA ESP,468434409.41,17808.485759200124,39041.41,26304,0.1938964614612783
BIAC,BIA ENERGY S.A.S. E.S.P,440818089.35,21185.029284409844,64117.72,20808,0.18246539100477524
ITLC,ITALCOL ENERGIA S.A. E.S.P.,377632759.14,14356.476548813867,21099.99,26304,0.1563114371152387
TPLC,TERPEL ENERGÍA S.A.S. E.S.P.,294833941.24,11208.711269768857,34455.29,26304,0.1220389808620623
EXEC,ENEL X COLOMBIA S.A.S ESP,280078971.2,13569.717596899225,34011.75,20640,0.11593153780866541
FREC,FRANCA ENERGIA SA ESP,260022865.62,9887.928874776591,18336.28,26297,0.10762982507250282
EBPC,EMPRESA DE ENERGIA DEL BAJO PUTUMAYO S.A. E.S.P.,259744503.75,9934.007868971583,17929.34,26147,0.10751460428488666
EGVC,EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE S.A. E.S.P.,241967106.02,9248.80001605382,15868.0,26162,0.10015610447233385
EPTC,EMPRESA DE ENERGIA DEL PUTUMAYO S.A. E.S.P.,230293525.07,8788.487447336283,16806.29,26204,0.09532412374393763
GAPC,GAP ENERGY GROUP SAS ESP,203138637.24,7725.665065794478,10467.2,26294,0.0840840513755423
CBNC,COLOMBINA ENERGIA SAS ESP,198682174.13,7553.306498251216,12598.42,26304,0.08223941227494748
RTAC,SPECTRUM RENOVAVEIS S.A.S. E.S.P.,192621922.84,9431.155642381513,38600.01,20424,0.07973092601285339
GECG,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,179080091.88,6815.348298066677,33411.44,26276,0.0741256309019372
PEEC,PROFESIONALES EN ENERGIA S.A. E.S.P.,167296185.84,6360.104388686132,22030.43,26304,0.06924798391988479
TENC,TRANSACCIONES ENERGÉTICAS S.A.S. EMPRESA DE SERVICIOS PÚBLICOS E.S.P,129792187.88,4934.313711982968,9952.74,26304,0.05372416169629098
LESC,MESSER ENERGY SERVICES SAS ESP,120297617.22,4573.3583188868615,5391.35,26304,0.049794126632498825
FERC,FUENTES DE ENERGIAS RENOVABLES S.A.S. E.S.P.,104353264.53,7060.437383626522,15371.13,14780,0.04319436900415664
NRCC,ENERCO S.A. E.S.P.,101750081.91,7347.637341854419,14814.86,13848,0.04211684803555137
ENBC,ENERBIT S.A.S. E.S.P.,94492629.52,4170.755187146892,11564.81,22656,0.03911281095079263
DLRC,DICELER S.A. E.S.P.,84775835.27,3223.048141656845,11391.17,26303,0.03509079210679847
EMEC,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,82509748.27,3136.7757097779804,8395.86,26304,0.034152803261750096
ASCC,A.S.C. INGENIERIA S.A. E.S.P.,75540778.62,2871.836170164234,5039.28,26304,0.03126817624028946
EPMG,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,73152504.43,2781.0410747414844,9859.07,26304,0.03027961112820994
GNYC,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,56835680.33,2160.723856827859,5938.64,26304,0.023525678471424692
TYPG,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,47596979.95,1815.569879081477,4261.1,26216,0.01970155437593137
EMPC,EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS DE CARTAGENA DEL CHAIRA,40494737.24,1611.6666894849957,2446.33,25126,0.01676176237465068
EVSC,EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P.,40081785.62,1530.247990684534,2963.08,26193,0.01659083159701299
EPSG,CELSIA COLOMBIA S.A. E.S.P.,38482417.55,1462.987285203771,5284.98,26304,0.015928814027172757
VESC,VOLTAJE EMPRESARIAL S.A.S. E.S.P.,38150038.61,1450.3512245285888,4678.43,26304,0.01579123425285297
RPEC,RIOPAILA ENERGÍA S.A.S. E.S.P.,35295914.04,1591.6984910935737,15722.91,22175,0.014609842272298609
HIMC,GESTION ENERGETICA S.A. E.S.P.,34244864.44,1312.1643206375966,2114.24,26098,0.014174787130817915
TCIG,TERMOCANDELARIA S.A.S. - E.S.P.,33743260.09,1283.3064611698487,11795.02,26294,0.01396716081950342
HIMG,GESTION ENERGETICA S.A. E.S.P.,33732600.31,1282.413332953163,12825.55,26304,0.013962748475789046
TRMG,TERMOTASAJERO S.A. E.S.P.,31594706.04,1206.6416911090741,16351.44,26184,0.013077821737692563
TBSG,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,27910094.42,1177.0947838555944,13148.12,23711,0.011552670850769149
ISGG,ISAGEN S.A. E.S.P.,25507650.49,969.7251554896593,2278.59,26304,0.010558240536666388
EXIC,ENERXIA COLOMBIA SAS ESP,24623833.96,4877.938581616482,6960.62,5048,0.010192407253915391
EMUG,EMPRESA URRA S.A. E.S.P.,22224579.38,847.3285058523009,1397.61,26229,0.009199297089799349
TMMG,TERMO MECHERO MORRO S.A.S E.S.P,20957671.03,801.8391946283048,1548.54,26137,0.008674892731097039
TMFG,ENFRAGEN TERMOFLORES S.A.S. E.S.P.,17873985.56,1001.5120502045161,12097.19,17847,0.00739847987823757
NMRC,ENERMAS SAS ESP,17096383.17,1894.54600731383,4160.82,9024,0.007076611226370737
PRIG,PROELECTRICA S.A.S E.S.P.,16112144.65,874.7092643865363,2895.85,18420,0.006669210825315118
ESOC,EMPRESA DE SERVICIOS PÚBLICOS DEL OCCIDENTE COLOMBIANO,13769729.1,572.212811668883,935.75,24064,0.005699627726180859
TEMG,TERMOEMCALI I S.A E.S.P,12904447.17,504.9873667527589,3152.17,25554,0.00534146636778556
SOCG,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A.S. E.S.P.,11601864.82,1105.8874101610904,6982.67,10491,0.004802295667782913
TMVG,ENFRAGEN TERMOVALLE S.A.S. EMPRESA DE SERVICIOS PUBLICOS,10094416.83,427.1684156404723,6945.71,23631,0.004178326067714339
SCEC,SOL & CIELO ENERGIA S.A.S. E.S.P,9967774.68,493.01487189632996,2396.76,20218,0.004125905783756599
NTCG,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,6930925.04,614.0082423812898,6809.37,11288,0.002868879426688589
ESVC,EMPRESA SIGLO XXI EICE ESP,6825569.03,473.274790597698,761.8,14422,0.0028252699968040326
VICC,EMPRESA DE ENERGÍA ELÉCTRICA DEL DEPARTAMENTO DEL VICHADA,5554599.82,343.4277123778905,1008.41,16174,0.0022991847488060763
TCNG,GENERADORA TERMOCENTRO S.A.S. E.S.P.,2445628.47,247.50819451472526,1143.84,9881,0.0010123054516409677
CHVG,AES COLOMBIA & CIA. S.C.A. E.S.P.,2219752.73,180.99745026092629,613.89,12264,0.00091880995721068
SFEG,SANTA FE ENERGY ZOMAC S.A.S. E.S.P.,1922408.15,276.44638337647393,3117.0,6954,0.0007957317615475858
TRPC,TERMOPIEDRAS S.A. E.S.P.,1887150.11,240.21768202647658,3335.49,7856,0.0007811375962669635
AAGG,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,1175850.64,88.3035926704716,398.6,13316,0.00048671334496998265
GNCG,VATIA S.A. E.S.P.,1092706.13,49.73401893404942,4318.86,21971,0.0004522977982998799
TRPG,TERMOPIEDRAS S.A. E.S.P.,1037977.8,178.04078902229847,1288.42,5830,0.0004296444036825831
SLUG,SPK LA UNIÓN S.A.S. E.S.P.,956425.58,195.90855796804587,1169.82,4882,0.0003958879447959953
SLMG,SPK LA MATA S.A.S E.S.P,886774.29,192.8189367253751,23616.74,4599,0.0003670575719712849
PDSG,PARQUE SOLAR PORTON DEL SOL SAS ESP,882808.81,165.2581074503931,694.3,5342,0.00036541616279093907
TMNG,TERMONORTE S.A.S. E.S.P.,687767.84,363.70589106292965,935.8,1891,0.0002846839339809177
RQEC,ENERGIA Y AGUA S.A.S. E.S.P.,679435.4,56.88031812473839,230.2,11945,0.0002812349332267389
PECG,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,653026.65,45.865054782975136,3391.52,14238,0.0002703037055591024
GSAC,GENERSA S.A.S. E.S.P.,645202.09,113.59191725352112,9572.32,5680,0.00026706492876129554
SDCG,SOL DE LAS CIÉNAGAS S.A.S. E.S.P.,536458.61,96.659209009009,320.6,5550,0.00022205334217536963
TCBG,TERMO CARIBE S.A.S. E.S.P.,423097.92,185.08220472440945,13576.8,2286,0.00017513057941869394
GNYG,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,417103.59,40.26485085432957,204.28,10359,0.00017264937959117683
RPEG,RIOPAILA ENERGÍA S.A.S. E.S.P.,393882.19,85.68244289754188,358.33,4597,0.00016303747406133337
EMEG,EMPRESA MUNICIPAL DE ENERGIA ELECTRICA S.A. E.S.P.,353380.03,38.57860589519651,111.82,9160,0.0001462726392247342
GNSG,GENERSOL S.A.S. E.S.P.,266327.53,49.8367383982036,5460.48,5344,0.0001102394798916752
HDTG,HIDROTOLIMA S.A. E.S.P.,223566.89,42.01595376808871,197.76,5321,9.253980493341924e-05
ERRG,ERCO GENERACION S.A.S. ESP,209077.0,34.609667273630194,768.97,6041,8.654208499328543e-05
DEPG,DEPI ENERGY S.A.S. E.S.P.,142262.61,29.83070035646886,112.7,4769,5.888597447823824e-05
GSAG,GENERSA S.A.S. E.S.P.,127288.6,31.4215255492471,124.58,4051,5.268786542697815e-05
HZEG,HZ ENERGY S.A.S. E.S.P.,115328.34,482.5453556485356,2031.67,239,4.7737221226698866e-05
PSGG,PARQUE SOLAR LOS GIRASOLES S.A.S ESP,98822.72,14.219096402877698,50.92,6950,4.090514132835103e-05
EGPG,ENEL GREEN POWER COLOMBIA S.A.S. E.S.P.,89748.07,86.46249518304433,114.01,1038,3.71489216983376e-05
BCCG,BCCY CORDOBA S.A.S. E.S.P.,77480.99,16.648257412978083,27.14,4654,3.2071277194258085e-05
PSBG,PCH SAN BARTOLOME S.A.S. E.S.P.,75593.89,50.09535453943008,86.18,1509,3.129016033974597e-05
CCGG,CCG ENERGY S.A.S. E.S.P.,71184.11,18.742525013164823,33.14,3798,2.9464844520398604e-05
SPRG,ESPACIO PRODUCTIVO S.A.S. E.S.P.,70983.6,7.218915895454084,13.4,9833,2.938184852628159e-05
IACG,IAC ENERGY S.A.S. E.S.P.,67292.97,13.809351528832341,32.87,4873,2.7854206484647314e-05
ENUG,EMPRESA ENERSUA S.A.S. E.S.P.,63335.09,6.7220430906389295,13.77,9422,2.6215943130221793e-05
UNGG,UNERGY ENERGY DIGITAL S.A.S E.S.P,59053.14,7.236904411764706,29.67,8160,2.4443539275005778e-05
TERG,TERMOTASAJERO DOS S.A. E.S.P.,52132.55,5.322906881764346,122.56,9794,2.1578937774201384e-05
GPEG,EMPRESA DE GENERACION Y PROMOCION DE ENERGIA DE ANTIOQUIA S.A. E.S.P.,48700.8,5.290115142298501,61.68,9206,2.015845249760134e-05
NRCG,ENERCO S.A. E.S.P.,46626.07,4.407834184155795,23.53,10578,1.9299670996058273e-05
PCYG,P.CH EL COCUYO SAS ESP,46072.03,3.3265003610108304,17.0,13850,1.9070340286464776e-05
XAFG,GREENYELLOW JEQUES S.A.S E.S.P,42173.58,19.570106728538285,50.74,2155,1.7456676462887466e-05
EGRG,4E GROUP S.A.S E.S.P.,38648.07,7.1306402214022135,9.47,5420,1.599738162861742e-05
